#{"t_start": 1583940658.1596394, "env_id": "cursorcontrol-v1"}
r,l,t
-99.098526,30,4.626557
-128.180893,30,4.645549
-139.118051,30,4.663542
242.358793,19,5.592177
-116.752556,30,5.945026
-188.064987,30,6.28685
-88.909325,30,6.628703
-117.928324,30,6.987552
-157.434406,30,7.3394
-38.207523,30,7.682286
-38.994584,30,8.032106
-29.013593,30,8.391982
-28.426489,30,8.73981
-18.931313,30,9.10165
-39.020796,30,9.448531
-8.174759,30,9.798382
2.068039,30,10.1532
-8.139975,30,10.520076
-8.080138,30,10.866894
1.976489,30,11.224773
1.28324,30,11.572596
7.195143,30,11.924475
-8.637368,30,12.270327
1.042268,30,12.619178
1.364127,30,12.967998
2.159366,30,13.322877
-38.104535,30,13.670699
-28.770174,30,14.024578
-9.096447,30,14.37543
-8.159462,30,14.729254
-18.601065,30,15.0761
0.891193,30,15.426981
1.62998,30,15.772834
0.844965,30,16.131682
1.332995,30,16.477534
-8.421846,30,16.827382
-9.098068,30,17.178233
-28.40399,30,17.525084
1.615668,30,17.874937
1.822092,30,18.227785
1.30736,30,18.617586
-8.855566,30,18.996455
-18.239593,30,19.361301
0.942218,30,19.721125
1.465277,30,20.084963
1.316302,30,20.444839
3.363234,30,20.800688
0.899241,30,21.264457
-7.769411,30,21.869207
1.54733,30,22.355993
-7.976323,30,22.783818
-19.169177,30,23.184639
6.178362,30,23.596493
2.578509,30,24.042273
1.571066,30,24.412116
1.220538,30,24.769961
1.693611,30,25.13081
0.970823,30,25.48169
-18.915403,30,25.83054
1.902362,30,26.181391
1.995866,30,26.587185
-8.485188,30,27.039995
-8.065801,30,27.432826
1.560881,30,27.862641
1.903641,30,28.231515
2.114505,30,28.616353
-8.458626,30,28.990166
-8.967038,30,29.379995
1.477107,30,29.817819
-18.235897,30,30.280641
2.382022,30,30.695467
2.24293,30,31.179235
1.046896,30,31.624038
6.643389,30,32.072878
-5.607736,30,32.534678
-8.860708,30,32.892504
1.921018,30,33.251373
-24.471996,30,33.616188
-15.956144,30,33.971066
-28.661291,30,34.321918
1.428994,30,34.699755
-78.158199,30,35.074595
-7.618102,30,35.493394
0.841864,30,35.913237
2.327922,30,36.378039
1.641421,30,36.79783
-39.271393,30,37.211683
-28.534504,30,37.600518
5.09874,30,37.977358
-9.037005,30,38.336205
3.998809,30,38.690055
1.048193,30,39.040904
-9.146659,30,39.386754
2.011496,30,39.742603
-8.182261,30,40.092424
-6.911412,30,40.441306
-6.67398,30,40.789158
0.898783,30,41.151003
-67.161206,30,41.493855
4.042024,30,41.842707
17.680162,30,42.192559
1.680763,30,42.546406
-8.093853,30,42.898256
4.166324,30,43.254104
-13.693242,30,43.608924
1.117806,30,43.974766
2.022196,30,44.320619
1.088204,30,44.6725
1.139403,30,45.035345
-8.88732,30,45.384197
0.99173,30,45.730016
1.307302,30,46.07887
-9.058888,30,46.423752
0.779387,30,46.767604
0.720477,30,47.124455
3.221613,30,47.469305
8.199838,30,47.813159
8.550342,30,48.157983
9.617269,30,48.502866
-8.518498,30,48.853685
6.444735,30,49.201567
2.770161,30,49.548419
1.21792,30,49.899238
-6.584379,30,50.256117
4.559618,30,50.603969
-59.100051,30,50.95279
1.780974,30,51.295641
8.575463,30,51.642525
3.072214,30,52.00634
-17.765969,30,52.413196
1.744901,30,52.790035
1.312543,30,53.184837
1.143047,30,53.570702
1.80956,30,53.958507
3.345992,30,54.359364
-119.127294,30,54.727208
1.486022,30,55.095022
1.67099,30,55.475866
4.664276,30,55.993639
11.143318,30,56.650356
1.00283,30,57.157167
0.779399,30,57.584985
5.815721,30,57.936838
1.102857,30,58.309654
0.768391,30,58.687495
1.085897,30,59.068356
-4.867922,30,59.433177
2.454979,30,59.828009
3.604186,30,60.208839
1.01487,30,60.588683
2.89598,30,60.958549
3.693561,30,61.338356
1.296467,30,61.740192
2.163776,30,62.168033
1.167521,30,62.519882
-78.805304,30,62.870704
2.190928,30,63.217554
-8.654029,30,63.566407
1.150184,30,63.917263
1.505313,30,64.276133
1.666121,30,64.625955
0.893023,30,64.978834
0.894087,30,65.339648
1.66611,30,65.70849
0.965268,30,66.141313
1.272849,30,66.512179
1.976225,30,66.866027
1.152031,30,67.236871
1.249018,30,67.597685
0.802952,30,67.950565
1.102958,30,68.307413
-8.861351,30,68.660263
3.601054,30,69.024078
1.162748,30,69.495876
0.916045,30,70.030677
1.069972,30,70.487483
1.765318,30,70.947258
6.662846,30,71.391074
1.204906,30,71.824888
0.937395,30,72.282686
0.824644,30,72.789468
1.283987,30,73.271264
3.876903,30,73.724078
7.839947,30,74.228854
1.060906,30,74.723675
0.696923,30,75.199451
1.268383,30,75.625261
2.233442,30,76.106056
0.887602,30,76.610868
2.3888,30,77.087645
0.839051,30,77.575427
1.349642,30,78.073216
1.308941,30,78.517033
2.26804,30,78.984857
1.166394,30,79.488611
0.896367,30,80.046373
1.054757,30,80.540167
1.692862,30,81.030951
-7.661966,30,81.465767
1.254586,30,81.972551
0.913912,30,82.451821
1.837711,30,82.973622
1.429146,30,83.480477
0.981024,30,83.951881
9.095529,30,84.445524
1.762125,30,84.907318
1.529574,30,85.329139
2.946716,30,85.73001
1.753907,30,86.138845
1.720683,30,86.532678
2.518316,30,86.907487
1.190946,30,87.402012
1.674531,30,87.81286
1.312956,30,88.188699
1.444995,30,88.729468
1.78399,30,89.231867
1.284535,30,89.647722
1.082747,30,90.105496
1.140639,30,90.521348
1.339827,30,90.897189
1.644879,30,91.260034
1.653763,30,91.613882
2.66379,30,91.975728
2.005245,30,92.325578
7.212577,30,92.715381
1.196423,30,93.133204
7.008393,30,93.483085
2.337081,30,93.832903
1.309523,30,94.201778
7.215099,30,94.551629
1.922056,30,94.89948
5.360585,30,95.268294
2.185515,30,95.654159
1.217943,30,96.027998
1.943822,30,96.387823
9.738876,30,96.743664
0.837086,30,97.100543
1.345426,30,97.458388
1.695374,30,97.816237
1.877334,30,98.188047
1.370648,30,98.559919
17.676635,30,98.924733
1.238006,30,99.285579
7.619959,30,99.649455
6.639097,30,100.024293
2.701331,30,100.440116
3.772778,30,100.873908
1.456983,30,101.385681
12.358162,30,101.785541
0.832614,30,102.291294
3.143759,30,102.724111
1.843904,30,103.143932
1.705284,30,103.510776
8.634073,30,103.879625
1.344475,30,104.257455
-8.185675,30,104.692301
2.678589,30,105.06512
2.029381,30,105.450978
1.716053,30,105.839812
1.163556,30,106.259602
1.162485,30,106.607455
3.683966,30,106.961301
4.925544,30,107.335143
1.164774,30,107.710983
5.036267,30,108.117809
1.642506,30,108.495649
1.198236,30,108.876486
4.386731,30,109.260354
1.58981,30,109.653185
6.161577,30,110.038019
1.239191,30,110.433828
1.882501,30,110.823653
1.215186,30,111.199524
11.426225,30,111.543378
2.124609,30,111.93618
1.521351,30,112.31002
0.784346,30,112.696856
1.266614,30,113.076724
3.079579,30,113.460528
2.848426,30,113.825403
1.694226,30,114.217237
9.030893,30,114.591077
1.54075,30,114.972915
1.834399,30,115.35173
-9.048195,30,115.7086
6.658175,30,116.103401
1.918738,30,116.496264
0.916076,30,116.872104
4.582085,30,117.284896
1.29211,30,117.665743
0.998084,30,118.0516
4.886906,30,118.445401
0.731467,30,118.883214
2.296744,30,119.319037
1.899355,30,119.767836
1.180019,30,120.169667
0.872693,30,120.519517
8.232479,30,120.868399
1.411225,30,121.224222
5.254196,30,121.65304
0.878407,30,122.078851
0.864067,30,122.453724
1.360549,30,122.857549
1.874491,30,123.251349
1.3977,30,123.626221
1.874121,30,123.991043
1.240562,30,124.398867
11.910627,30,124.770701
1.050097,30,125.464405
2.037048,30,126.030171
0.813363,30,126.426003
2.060333,30,126.81383
0.815559,30,127.191677
1.234296,30,127.781416
1.901316,30,128.242221
1.00935,30,128.722024
1.684924,30,129.11285
1.763239,30,129.508682
2.713859,30,129.871526
1.58421,30,130.310337
1.138978,30,130.861104
0.988399,30,131.367916
1.344713,30,131.870678
1.604223,30,132.71931
0.976942,30,133.253081
0.967214,30,133.596958
2.931094,30,133.938791
1.669136,30,134.219691
2.213816,30,134.592542
1.516307,30,134.982351
0.875012,30,135.373178
2.34987,30,135.739022
1.788762,30,136.099898
2.791114,30,137.105447
1.166621,30,137.501299
1.734146,30,137.980095
5.346389,30,138.376927
0.99057,30,138.769733
3.754467,30,139.12061
6.736138,30,139.473461
1.299212,30,139.821311
1.177075,30,140.176161
1.237066,30,140.528008
-4.053062,30,140.881857
2.100443,30,141.22771
5.630852,30,141.591554
2.286678,30,141.966395
1.543436,30,142.336236
1.368865,30,142.712077
2.769365,30,143.080918
1.216704,30,143.455729
5.244829,30,143.828575
4.638762,30,144.200441
2.522874,30,144.567284
1.100428,30,144.917135
-9.063315,30,145.267985
1.204056,30,145.617806
0.964606,30,145.977652
1.329813,30,146.330532
1.054276,30,146.702373
3.611651,30,147.054193
1.131107,30,147.411071
-29.017738,30,147.785911
8.289302,30,148.156723
4.218552,30,148.519599
8.369106,30,148.884411
6.816829,30,149.257284
-28.629845,30,149.612133
0.708484,30,149.96895
1.289699,30,150.3198
-8.773554,30,150.691671
2.840073,30,151.069479
0.870381,30,151.447317
7.470016,30,151.807164
1.032559,30,152.174007
1.629118,30,152.545881
-4.870381,30,152.909693
3.728751,30,153.371503
1.766979,30,153.896271
1.617834,30,154.314102
1.337046,30,154.697938
-5.448661,30,155.047781
12.277949,30,155.396633
5.46951,30,155.780468
-28.807557,30,156.167335
8.155112,30,156.526151
0.749883,30,156.908014
2.315854,30,157.271833
1.517382,30,157.684656
-128.190342,30,158.084514
1.346252,30,158.463355
-138.971155,30,158.830174
12.19411,30,159.205039
-9.24071,30,159.572858
0.965074,30,159.941723
1.95799,30,160.352516
2.43055,30,160.729386
2.087923,30,161.105204
0.839139,30,161.491063
2.037568,30,161.892891
4.618518,30,162.261733
0.872673,30,162.612584
0.796596,30,163.017411
0.775472,30,163.379225
3.302897,30,163.754073
0.91096,30,164.129906
0.840473,30,164.48776
0.698074,30,164.872619
1.005933,30,165.255463
2.287223,30,165.620301
1.411074,30,165.991111
3.890727,30,166.361953
0.993247,30,166.711835
1.795612,30,167.066653
4.502465,30,167.468481
1.407117,30,167.86931
1.736596,30,168.286162
4.105913,30,168.672996
1.101738,30,169.074795
0.792101,30,169.501642
1.843365,30,169.924432
1.068688,30,170.314296
2.899883,30,170.678119
0.8163,30,171.141919
2.835245,30,171.562764
5.559794,30,172.017569
2.752107,30,172.428394
0.811191,30,172.890167
1.625272,30,173.314986
1.505503,30,173.724809
5.235277,30,174.173621
1.271055,30,174.598467
6.867257,30,175.079233
4.532789,30,175.533046
1.632827,30,176.015832
2.897004,30,176.516625
1.165449,30,177.002442
2.175727,30,177.423232
1.621012,30,177.840055
0.720677,30,178.263903
13.214574,30,178.810639
1.983679,30,179.27045
0.916957,30,179.692265
0.739585,30,180.132076
0.673342,30,180.590882
1.325946,30,181.046694
1.465621,30,181.474512
0.91468,30,181.94431
1.605406,30,182.375119
1.56238,30,182.782946
1.689037,30,183.214794
1.070757,30,183.716556
1.290892,30,184.194343
0.927823,30,184.679137
1.184585,30,185.218906
1.402523,30,185.700701
2.26261,30,186.180526
5.345245,30,186.683281
1.127454,30,187.135118
4.545658,30,187.570932
1.104364,30,188.031708
1.245875,30,188.506506
2.970929,30,189.212201
2.987724,30,189.745973
1.76235,30,190.233794
1.526347,30,190.609632
1.203634,30,191.079407
1.278615,30,191.567202
4.369777,30,192.035995
1.882953,30,192.487803
3.732531,30,192.945638
2.879125,30,193.442397
1.454163,30,194.036173
2.635734,30,194.443976
2.764467,30,194.821808
2.087725,30,195.21667
2.746664,30,195.6145
1.211929,30,196.011307
4.190984,30,196.443117
0.952212,30,196.858946
2.932659,30,197.289754
1.679555,30,197.688584
1.741791,30,198.073421
0.811279,30,198.448267
1.414901,30,198.8371
0.669867,30,199.257922
1.537804,30,199.669769
1.304276,30,200.078572
2.507863,30,200.559358
1.250109,30,201.065148
1.149256,30,201.452976
1.230898,30,201.862804
1.223364,30,202.411577
4.709915,30,202.804432
1.389598,30,203.249211
7.698185,30,203.681058
1.210846,30,204.092852
0.893415,30,204.490682
0.588736,30,204.866551
0.724289,30,205.24336
1.552697,30,205.633224
2.955039,30,206.039021
1.522867,30,206.417858
2.750859,30,206.81469
1.32535,30,207.217547
1.148639,30,207.619347
5.265836,30,208.049162
5.187487,30,208.460994
5.748541,30,208.832829
1.910077,30,209.202701
1.043093,30,209.559548
2.080696,30,209.921364
5.902062,30,210.320224
0.947328,30,210.676072
0.912083,30,211.032888
1.692292,30,211.393736
3.462087,30,211.754612
1.994698,30,212.148444
2.825464,30,212.523283
1.869473,30,212.92409
2.567061,30,213.349931
0.899298,30,213.743732
0.827572,30,214.167582
0.846821,30,214.54942
1.493034,30,214.930257
1.391524,30,215.350047
3.821527,30,215.71889
0.997654,30,216.107755
0.939104,30,216.481564
1.642187,30,216.894389
14.470077,30,217.355192
8.915782,30,217.747023
0.82967,30,218.146854
1.318392,30,218.567675
11.45156,30,218.97553
1.638313,30,219.369332
0.783286,30,219.756171
1.274612,30,220.151999
20.969642,30,220.508876
2.766614,30,220.868691
0.998721,30,221.22657
21.746679,30,221.603386
29.337359,30,221.985214
13.115001,30,222.363084
0.766211,30,222.728929
2.983442,30,223.098771
3.234014,30,223.463615
1.258185,30,223.851427
1.344855,30,224.257246
0.795127,30,224.648111
-12.566454,30,225.023918
3.482587,30,225.408785
2.654403,30,225.776628
6.341293,30,226.169461
3.364228,30,226.538303
4.026382,30,226.925106
-8.577355,30,227.289984
2.201785,30,227.674818
1.323814,30,228.07065
0.816345,30,228.447488
2.361487,30,228.845288
3.318402,30,229.240127
2.909669,30,229.617988
1.165024,30,230.013789
2.538188,30,230.407622
1.324091,30,230.809481
0.654847,30,231.213276
6.766934,30,231.614113
15.657112,30,231.998942
2.443032,30,232.37881
1.097627,30,232.761647
1.588632,30,233.149458
1.433945,30,233.516301
7.540598,30,233.892134
5.203201,30,234.254009
3.033379,30,234.610858
22.842907,30,234.987697
1.071181,30,235.394523
0.971416,30,235.765332
1.077098,30,236.14917
2.494047,30,236.522043
26.073401,30,236.887856
1.752461,30,237.257699
11.877881,30,237.622572
4.855797,30,237.98242
17.437884,30,238.346232
14.206795,30,238.699112
3.335863,30,239.071955
2.688263,30,239.438768
3.302537,30,239.803612
7.369275,30,240.177482
3.527995,30,240.545325
1.593076,30,240.913168
1.889194,30,241.292974
2.658274,30,241.675813
16.993828,30,242.073673
19.075393,30,242.450483
22.975942,30,242.814357
0.934666,30,243.20416
15.653138,30,243.575038
1.762755,30,243.939879
4.792592,30,244.318683
2.251488,30,244.696554
8.393542,30,245.095384
1.145438,30,245.485217
18.09228,30,245.854061
0.996094,30,246.233867
0.897335,30,246.617704
12.820275,30,247.012565
3.063396,30,247.384376
2.259371,30,247.757216
1.386969,30,248.146082
15.734421,30,248.511925
1.452178,30,248.874771
10.663484,30,249.23062
19.176535,30,249.592435
1.481444,30,249.961307
15.479371,30,250.35311
1.719681,30,250.750939
1.110042,30,251.132806
15.784814,30,251.529638
3.858999,30,251.921441
14.080878,30,252.311275
6.542959,30,252.689113
1.843262,30,253.053956
14.800563,30,253.416831
1.402341,30,253.782644
2.71082,30,254.144522
2.01414,30,254.502369
18.995513,30,254.87418
1.487676,30,255.257016
7.180517,30,255.64985
18.790463,30,256.041688
11.502677,30,256.419519
11.593771,30,256.807386
1.648365,30,257.208183
2.392008,30,257.589051
3.103381,30,257.99185
6.528181,30,258.401704
13.894202,30,258.794508
4.784007,30,259.163379
1.215916,30,259.533207
13.077969,30,259.921026
4.538486,30,260.31186
1.848282,30,260.692727
18.886685,30,261.077532
3.267059,30,261.440408
1.192193,30,261.82822
26.875601,30,262.210079
1.189724,30,262.589918
10.845532,30,262.946734
18.995552,30,263.35556
11.375993,30,263.742396
22.062324,30,264.201199
4.566983,30,264.628017
26.688772,30,265.04287
5.054154,30,265.518642
2.664256,30,265.936488
1.292049,30,266.323295
5.950715,30,266.681171
2.613293,30,267.063009
15.134605,30,267.439819
19.72012,30,267.812689
2.189665,30,268.191528
1.50655,30,268.551374
20.780095,30,268.912188
2.78778,30,269.279064
